metric_id,campaign_id,impressions,clicks,conversions,bounces,metric_date
160,116,7768,697,314,197,12-02-2017
161,116,14527,660,249,80,18-02-2017
162,116,10007,1124,304,144,03-02-2017
163,116,24989,509,263,75,11-02-2017
164,116,9774,395,158,90,16-02-2017
165,116,6687,787,247,60,09-02-2017
166,117,13868,597,220,183,02-11-2016
167,117,13812,610,226,4,24-10-2016
168,117,5179,373,4,180,07-11-2016
169,117,18650,666,94,176,20-10-2016
170,117,5538,351,82,178,06-11-2016
171,117,19310,417,76,51,18-10-2016
172,117,10690,737,31,66,21-10-2016
173,117,10967,407,337,68,27-10-2016
174,117,23838,1190,329,199,10-11-2016
175,117,15957,796,484,82,12-11-2016
176,117,18763,2142,277,39,28-10-2016
177,117,16559,1211,352,121,30-10-2016
178,117,18617,1198,409,59,08-11-2016
179,117,6395,447,370,41,22-10-2016
180,118,16774,1161,204,180,06-05-2016
181,118,12014,1146,24,31,30-04-2016
182,118,17170,805,95,122,01-05-2016
183,118,5366,467,415,138,07-05-2016
184,118,20601,753,464,74,03-05-2016
185,118,12263,1427,303,122,09-05-2016
186,118,6762,697,206,69,05-05-2016
187,118,17103,1855,492,82,02-05-2016
188,119,21611,2528,140,120,19-06-2016
189,119,21838,456,235,25,01-07-2016
190,119,7070,823,365,94,08-07-2016
191,119,22561,1480,333,194,17-06-2016
192,119,8914,248,380,196,25-06-2016
193,119,23243,919,450,25,26-06-2016
194,119,20630,2436,314,35,22-06-2016
195,119,6220,471,211,188,01-06-2016
196,119,6260,325,442,184,18-06-2016
197,119,15485,1258,493,28,20-06-2016
198,119,22424,2636,329,139,29-06-2016
199,119,23716,1284,273,107,04-07-2016
200,119,19552,985,216,110,30-06-2016
201,119,8033,617,408,94,02-07-2016
202,120,22744,686,132,184,05-02-2017
203,120,23795,2029,413,189,16-02-2017
204,120,8794,646,2,41,19-02-2017
205,120,21509,2029,491,79,03-02-2017
206,120,7521,429,156,65,01-02-2017
207,120,11105,1200,459,12,11-02-2017
208,120,19046,1153,246,49,15-02-2017
209,120,15467,1597,158,84,10-02-2017
210,120,9817,508,155,171,04-02-2017
211,120,22414,1610,397,114,20-02-2017
212,120,6643,695,223,151,12-02-2017
213,120,24579,1686,199,153,18-02-2017
214,120,17505,1820,375,14,31-01-2017
215,121,7960,522,50,99,12-06-2016
216,121,23806,2291,365,173,18-06-2016
217,121,7120,684,163,106,27-06-2016
218,121,7761,578,391,33,13-06-2016
219,121,23220,765,467,75,10-06-2016
220,121,24331,1881,62,35,17-06-2016
221,121,16430,1005,49,128,08-06-2016
222,121,17846,1536,114,75,09-06-2016
223,121,22207,1084,254,90,23-06-2016
224,121,18417,1786,203,117,11-06-2016
225,121,12475,303,193,8,07-06-2016
226,121,3617,88,442,150,21-06-2016
227,122,10948,913,82,40,12-02-2016
228,122,19059,1168,357,127,28-01-2016
229,122,18245,1312,487,96,24-01-2016
230,122,6502,150,131,195,17-02-2016
231,122,12896,905,414,15,05-02-2016
232,122,8978,946,50,58,01-02-2016
233,122,5327,124,482,99,20-02-2016
234,122,21276,1330,364,137,07-02-2016
235,123,22671,2299,243,50,14-06-2017
236,123,23361,1475,372,188,26-06-2017
237,123,10504,833,378,179,21-06-2017
238,123,18212,392,186,71,13-07-2017
239,123,14382,1297,287,99,10-06-2017
240,123,19292,593,107,26,17-06-2017
241,123,20089,2357,447,178,04-06-2017
242,123,21226,1281,455,163,19-06-2017
243,123,24648,1002,166,140,29-06-2017
244,123,16080,1857,404,123,08-06-2017
245,123,6740,629,387,93,06-07-2017
246,123,5704,459,482,125,09-06-2017
247,123,14894,1444,240,97,08-07-2017
248,123,16611,1201,374,162,18-06-2017
249,124,23200,2587,140,164,20-01-2016
250,124,16042,439,26,21,02-02-2016
251,124,6703,509,381,128,01-02-2016
252,124,19490,1596,35,105,19-01-2016
253,124,3150,231,357,10,13-01-2016
254,124,11267,838,157,138,12-02-2016
255,124,15897,1611,305,72,07-01-2016
256,124,22857,499,482,77,27-01-2016
257,124,9541,649,474,121,13-02-2016
258,124,9331,645,329,39,11-01-2016
259,124,16307,589,241,16,23-01-2016
260,124,16483,1822,200,104,17-01-2016
261,124,19172,2135,372,145,18-01-2016
262,124,20875,469,468,116,21-01-2016
263,125,22467,1235,334,190,02-06-2017
264,125,20185,2022,319,178,03-06-2017
265,125,3207,355,327,8,06-06-2017
266,125,18310,2160,359,51,04-06-2017
267,125,15667,906,272,142,11-06-2017
268,125,24114,1371,169,153,08-06-2017
269,125,14800,1044,402,129,19-06-2017
270,125,22372,1219,152,30,16-06-2017
271,125,14422,1540,405,105,05-06-2017
272,125,24264,1307,450,15,18-06-2017
273,125,8155,494,183,189,17-06-2017
274,126,21667,2264,245,89,14-03-2016
275,126,16274,1088,388,14,07-03-2016
276,126,15615,1695,415,9,22-03-2016
277,126,5691,164,354,99,05-03-2016
278,126,3601,216,225,6,15-03-2016
279,126,19443,876,417,135,20-03-2016
280,126,20395,2373,309,20,12-03-2016
281,126,17343,878,224,182,16-03-2016
282,127,18845,1370,484,80,18-11-2016
283,127,15121,1635,174,81,02-12-2016
284,127,15389,1085,234,114,21-11-2016
285,127,17244,716,244,48,25-11-2016
286,127,13920,755,265,83,11-11-2016
287,127,8494,971,333,154,29-11-2016
288,128,3354,76,94,155,24-05-2016
289,128,20686,789,456,16,20-05-2016
290,128,4954,172,367,93,02-06-2016
291,128,14128,638,393,135,28-05-2016
292,128,17468,1851,342,63,01-06-2016
293,128,24876,1575,328,2,22-05-2016
294,128,6997,276,154,99,30-05-2016
295,128,17088,1448,417,92,07-06-2016
296,128,24648,1864,417,121,04-06-2016
297,128,20114,888,98,145,19-05-2016
298,128,22514,813,51,35,08-06-2016
299,128,10366,474,343,178,16-05-2016
300,128,23230,2100,167,18,21-05-2016
301,128,12263,1453,297,14,29-05-2016
302,128,20244,1065,89,56,23-05-2016
303,129,4099,482,364,190,03-12-2017
304,129,8836,795,118,40,12-12-2017
305,129,13077,1065,175,12,24-11-2017
306,129,6795,632,320,198,07-12-2017
307,129,19481,480,261,8,22-12-2017
308,129,23615,2757,121,35,02-01-2018
309,130,6629,693,42,3,08-07-2017
310,130,4632,359,316,150,07-07-2017
311,130,7951,199,395,16,06-07-2017
312,130,21032,977,129,1,30-06-2017
313,130,8967,419,467,152,03-06-2017
314,130,18774,474,341,29,27-06-2017
315,130,3245,207,496,130,02-06-2017
316,130,12243,858,279,5,03-07-2017
317,130,9303,1033,429,144,28-06-2017
318,130,19370,484,434,11,07-06-2017
319,130,7005,638,118,8,12-06-2017
320,130,10524,695,414,143,02-07-2017
321,130,19359,447,270,27,16-06-2017
322,131,18076,1890,152,63,20-04-2017
323,131,15214,1774,105,123,12-05-2017
324,131,22960,1426,302,132,13-05-2017
325,131,19772,1502,76,103,08-05-2017
326,131,14087,1271,374,11,07-05-2017
327,131,18577,1291,115,157,02-05-2017
328,131,20580,1605,41,91,06-05-2017
329,131,19758,979,156,33,27-04-2017
330,131,24481,2846,56,83,17-04-2017
331,131,10773,366,185,123,05-05-2017
332,131,12117,604,395,141,22-04-2017
333,131,4244,394,458,32,11-05-2017
334,131,24534,1272,448,91,13-04-2017
335,131,4680,227,446,93,18-05-2017
336,131,13738,1083,310,110,29-04-2017
337,132,6713,591,33,98,25-11-2017
338,132,5689,307,111,31,15-12-2017
339,132,14963,1561,295,29,02-01-2018
340,132,18961,1229,224,138,20-11-2017
341,132,3387,149,429,73,19-11-2017
342,132,12559,969,267,96,12-12-2017
343,132,15093,1660,203,116,07-12-2017
344,132,4356,416,24,98,30-12-2017
345,132,8714,530,449,28,03-12-2017
346,132,19122,509,410,70,09-12-2017
347,132,15299,350,162,161,08-12-2017
348,132,15926,866,228,111,19-12-2017
349,133,12787,1429,420,71,18-12-2017
350,133,10579,512,350,44,22-12-2017
351,133,19663,851,324,156,23-12-2017
352,133,6292,284,87,149,16-12-2017
353,133,21966,1993,340,60,17-12-2017
354,133,17905,408,175,171,24-12-2017
355,133,7375,593,279,130,19-12-2017
356,133,8144,542,52,8,14-12-2017
357,133,11543,985,304,40,21-12-2017
358,133,21077,1268,491,148,15-12-2017
359,133,24417,2454,385,26,20-12-2017
360,134,22229,657,99,141,03-11-2016
361,134,15902,680,348,173,06-11-2016
362,134,8542,945,56,45,20-11-2016
363,134,19343,1451,178,61,26-11-2016
364,134,12097,264,441,129,24-11-2016
365,134,13625,1228,163,35,27-11-2016
366,134,18511,1952,35,93,03-12-2016
367,134,8642,728,490,124,12-11-2016
368,135,5265,567,147,83,12-03-2017
369,135,11786,755,472,103,11-03-2017
370,135,14212,837,165,102,22-03-2017
371,135,17620,1075,346,68,18-03-2017
372,135,15165,542,299,16,27-03-2017
373,135,9652,783,106,64,10-03-2017
374,136,20843,640,334,17,11-08-2017
375,136,15363,1625,29,5,16-08-2017
376,136,23716,2389,63,22,24-08-2017
377,136,15219,930,138,187,23-08-2017
378,136,20945,1831,107,95,18-08-2017
379,136,16674,1477,381,16,15-08-2017
380,136,14149,1393,66,48,20-08-2017
381,136,4231,99,110,56,30-08-2017
382,136,11470,1033,290,23,01-09-2017
383,136,5141,560,190,187,22-08-2017
384,136,17082,939,395,191,14-08-2017
385,136,20073,1621,446,39,12-08-2017
386,136,10275,628,93,53,21-08-2017
387,136,17481,446,16,41,13-08-2017
388,136,4315,388,191,177,31-08-2017
389,137,11095,709,259,169,15-11-2016
390,137,22179,2455,107,196,19-11-2016
391,137,13137,757,359,150,12-11-2016
392,137,14856,1682,49,131,27-10-2016
393,137,16156,1230,380,182,18-11-2016
394,137,22537,1648,151,90,09-11-2016
395,138,17700,1266,86,158,25-03-2017
396,138,24584,1343,14,146,04-04-2017
397,138,24870,2035,345,85,05-04-2017
398,138,20748,1758,160,102,19-04-2017
399,138,8074,285,450,196,23-03-2017
400,138,10155,601,345,31,31-03-2017
401,138,21263,2531,227,79,22-03-2017
402,138,20592,2082,96,199,21-04-2017
403,138,17393,1890,81,192,07-04-2017
404,138,15562,1117,486,30,27-03-2017
405,139,3374,288,125,46,16-03-2017
406,139,9785,233,92,51,04-04-2017
407,139,16307,1104,488,65,26-02-2017
408,139,24050,1334,298,161,27-02-2017
409,139,17929,392,62,1,24-03-2017
410,139,6625,791,24,140,02-04-2017
411,139,17780,888,448,88,25-02-2017
412,139,13229,1464,162,130,30-03-2017
413,140,15741,679,335,165,30-10-2016
414,140,6064,526,317,155,29-09-2016
415,140,24091,2370,41,130,06-10-2016
416,140,7816,440,493,78,27-09-2016
417,140,24476,851,191,139,22-10-2016
418,140,18974,1239,473,140,01-11-2016
419,140,9536,438,292,22,04-10-2016
420,140,14716,1393,243,16,28-09-2016
421,140,22015,2009,94,176,03-10-2016
422,140,7072,692,479,154,07-10-2016
423,140,20805,582,256,189,11-10-2016
424,140,24063,1119,304,98,30-09-2016
425,141,4131,465,158,131,24-06-2017
426,141,5211,264,182,89,20-06-2017
427,141,3906,231,229,79,24-05-2017
428,141,18959,840,8,153,17-06-2017
429,141,21092,2256,412,166,01-06-2017
430,141,9985,719,126,123,31-05-2017
431,141,9364,516,140,16,23-06-2017
432,141,9915,559,87,17,11-06-2017
433,141,15790,1469,0,179,21-06-2017
434,141,20437,1644,497,14,30-05-2017
435,141,9626,896,210,85,18-06-2017
436,141,17595,1798,260,45,22-06-2017
437,142,24818,2508,366,159,04-05-2017
438,142,5572,357,492,66,30-05-2017
439,142,9335,936,385,163,05-05-2017
440,142,22353,2260,140,96,18-05-2017
441,142,22996,844,96,69,16-05-2017
442,142,15832,1536,193,90,03-06-2017
443,142,19556,1585,285,175,07-06-2017
444,142,7724,462,148,88,11-05-2017
445,143,15064,1741,122,97,25-08-2016
446,143,18257,2097,414,115,23-08-2016
447,143,20302,1418,233,196,22-08-2016
448,143,15930,401,477,170,18-08-2016
449,143,16518,1516,410,93,20-08-2016
450,143,12336,1163,244,79,19-08-2016
451,143,4706,237,399,103,24-08-2016
452,143,17575,669,318,152,21-08-2016
453,144,10787,1087,471,116,31-03-2016
454,144,24139,2166,429,106,28-03-2016
455,144,10843,237,361,165,07-04-2016
456,144,6023,228,285,142,08-04-2016
457,144,10243,391,422,23,04-04-2016
458,144,15824,572,16,119,03-03-2016
459,144,23293,895,176,108,09-04-2016
460,144,14545,1300,240,107,01-04-2016
461,144,16111,1599,113,182,11-04-2016
462,145,4148,194,427,64,24-12-2017
463,145,13616,732,274,180,07-12-2017
464,145,23076,1494,188,109,23-12-2017
465,145,22554,1517,247,90,11-12-2017
466,145,20965,2404,7,36,30-11-2017
467,145,7591,851,299,25,20-11-2017
468,145,9686,397,68,62,21-11-2017
469,145,15781,1055,497,44,13-12-2017
470,145,18446,1706,187,4,22-11-2017
471,145,19027,2059,188,175,15-12-2017
472,146,3498,352,478,53,04-07-2017
473,146,5856,430,432,2,01-07-2017
474,146,19066,1223,238,87,28-06-2017
475,146,7765,495,459,199,08-07-2017
476,146,21716,926,88,71,05-07-2017
477,146,17409,1555,15,8,29-06-2017
478,146,16389,1907,54,78,03-07-2017
479,146,22228,1719,320,137,06-07-2017
480,146,18687,1265,112,149,26-06-2017
481,146,10906,655,258,138,02-07-2017
482,146,18802,742,69,78,07-07-2017
483,146,9216,1082,426,162,30-06-2017
484,146,3091,244,362,90,27-06-2017
485,147,9847,415,295,64,07-11-2017
486,147,22711,2207,134,187,06-11-2017
487,147,12475,1091,285,128,14-11-2017
488,147,4489,183,215,140,04-11-2017
489,147,21962,2324,391,198,19-11-2017
490,147,3290,389,431,40,05-11-2017
491,147,4946,349,241,39,13-11-2017
492,147,21292,2503,482,50,11-11-2017
493,148,8787,855,186,160,21-01-2016
494,148,7580,799,484,163,03-02-2016
495,148,10757,763,493,141,28-01-2016
496,148,8452,340,195,88,06-02-2016
497,148,3291,368,147,72,24-01-2016
498,148,9805,719,473,13,11-02-2016
499,148,24301,724,70,153,08-02-2016
500,148,16722,1687,22,92,19-02-2016
501,149,17227,634,270,58,01-12-2016
502,149,10433,813,79,34,26-11-2016
503,149,15626,1150,310,56,03-12-2016
504,149,6054,594,162,13,25-11-2016
505,149,21041,2477,255,55,23-11-2016
506,149,12493,1316,370,94,02-12-2016
507,149,14483,440,133,52,04-12-2016
508,149,8797,711,162,13,28-11-2016
509,149,7235,384,222,123,24-11-2016
510,149,19209,1451,54,139,19-11-2016
511,149,17675,848,496,56,29-11-2016
512,150,17940,631,116,24,19-10-2017
513,150,12072,740,494,29,29-10-2017
514,150,3343,123,451,149,23-10-2017
515,150,9828,221,243,18,17-10-2017
516,150,5790,200,10,129,20-10-2017
517,150,3082,323,239,130,21-10-2017
518,150,19152,1452,176,13,07-11-2017
519,150,12088,775,56,28,03-11-2017
520,151,16680,1894,444,115,05-09-2016
521,151,21241,1762,139,8,14-09-2016
522,151,7498,267,122,1,01-10-2016
523,151,8759,903,216,183,24-08-2016
524,151,6595,423,264,188,04-09-2016
525,151,14798,469,411,165,26-08-2016
526,151,8527,486,404,30,01-09-2016
527,152,22541,510,442,0,13-09-2016
528,152,20733,726,70,134,18-08-2016
529,152,17362,1509,312,16,14-08-2016
530,152,16603,868,489,170,24-08-2016
531,152,9277,310,147,44,14-09-2016
532,152,20251,2043,278,171,01-09-2016
533,152,10191,857,153,159,25-08-2016
534,152,23237,2542,357,193,23-08-2016
535,152,3741,437,231,90,12-09-2016
536,152,14265,1000,486,72,10-09-2016
537,152,3408,284,273,63,15-08-2016
538,152,15819,1311,379,94,27-08-2016
539,152,6853,500,310,61,11-09-2016
540,152,18727,1617,34,46,21-08-2016
541,152,8816,1018,220,128,03-09-2016
542,153,12093,1014,242,127,23-08-2017
543,153,12020,1429,104,26,13-08-2017
544,153,10040,221,217,168,17-08-2017
545,153,8599,209,235,105,19-08-2017
546,153,9301,437,191,169,28-08-2017
547,154,9779,1052,402,174,21-07-2016
548,154,18054,419,174,150,24-07-2016
549,154,7943,367,497,76,22-07-2016
550,154,19652,1935,295,26,27-07-2016
551,154,21857,1731,393,155,26-07-2016
552,154,7976,427,147,123,29-07-2016
553,154,3666,341,216,81,28-07-2016
554,154,19187,1854,206,87,25-07-2016
555,154,7126,318,103,43,23-07-2016
556,155,16489,778,122,157,18-02-2016
557,155,15399,628,308,171,03-02-2016
558,155,6689,361,7,68,31-01-2016
559,155,6248,269,254,188,01-02-2016
560,155,23676,2334,41,52,10-02-2016
561,155,20409,1200,293,29,17-02-2016
562,155,18048,1202,21,9,14-02-2016
563,156,9630,952,228,121,27-12-2016
564,156,20551,2152,273,83,15-01-2017
565,156,16534,1687,356,140,29-12-2016
566,156,24542,1353,171,141,26-12-2016
567,156,10512,253,181,35,18-01-2017
568,156,20447,1426,117,155,25-12-2016
569,156,17956,916,68,48,24-12-2016
570,156,5900,226,282,58,28-12-2016
571,156,7095,705,37,35,14-01-2017
572,156,6600,541,258,47,08-01-2017
573,156,13717,1097,468,196,31-12-2016
574,156,19453,1583,342,18,06-01-2017
575,156,8543,988,491,76,02-01-2017
576,156,17844,649,392,17,04-01-2017
577,157,23752,2448,53,85,13-10-2016
578,157,8454,464,167,192,29-09-2016
579,157,9573,269,452,52,04-10-2016
580,157,15758,536,49,187,02-11-2016
581,157,11136,1058,327,87,07-10-2016
582,157,3780,399,156,96,03-10-2016
583,157,3440,251,330,16,18-10-2016
584,157,24014,2410,29,43,06-10-2016
585,157,16762,425,99,118,24-10-2016
586,157,11393,980,281,24,22-10-2016
587,158,4868,482,425,11,27-03-2016
588,158,5404,313,421,178,20-02-2016
589,158,24396,1032,411,35,12-03-2016
590,158,20358,1314,333,156,20-03-2016
591,158,9895,298,455,47,19-03-2016
592,159,23162,825,141,125,12-10-2017
593,159,23530,2643,497,107,08-10-2017
594,159,13337,707,291,25,14-10-2017
595,159,8735,468,74,31,11-10-2017
596,159,15854,1752,398,18,09-10-2017
597,159,7208,571,181,149,10-10-2017
598,159,13835,726,56,52,13-10-2017
599,159,3153,65,370,113,07-10-2017
600,160,9082,357,103,85,12-04-2017
601,160,23931,2617,422,64,04-04-2017
602,160,11818,340,350,183,02-04-2017
603,160,19915,2299,367,80,15-04-2017
604,160,7959,785,47,173,19-04-2017
605,160,4380,335,498,157,13-04-2017
606,160,19902,1343,299,149,16-04-2017
607,160,24432,2186,363,26,18-04-2017
608,160,18916,1964,403,22,05-04-2017
609,160,12186,521,232,190,01-04-2017
610,160,21018,1106,229,134,03-04-2017
611,160,13259,1206,23,29,27-03-2017
612,160,3144,317,287,136,09-04-2017
613,161,13292,1267,3,137,09-02-2017
614,161,20789,772,28,13,05-02-2017
615,161,11351,992,397,121,19-01-2017
616,161,22061,2138,374,118,20-01-2017
617,161,10020,621,494,60,04-02-2017
618,161,4398,247,156,131,08-02-2017
619,161,5893,370,11,160,12-02-2017
620,161,3978,350,214,197,07-02-2017
621,161,12450,840,338,192,03-02-2017
622,162,20177,2180,403,21,09-08-2016
623,162,6260,278,468,25,25-07-2016
624,162,23090,2616,445,144,07-08-2016
625,162,21314,656,273,146,10-08-2016
626,162,19780,859,414,0,24-07-2016
627,162,14732,1736,94,15,19-07-2016
628,162,23764,2752,463,94,12-08-2016
629,162,23047,694,417,82,18-07-2016
630,162,18282,1801,482,141,27-07-2016
631,162,9115,679,135,148,20-08-2016
632,162,6831,530,443,84,03-08-2016
633,162,17678,1396,187,129,11-08-2016
634,163,4157,285,374,91,11-06-2017
635,163,17658,1692,76,69,24-06-2017
636,163,11769,470,373,55,17-06-2017
637,163,11142,246,274,23,20-06-2017
638,163,15183,1615,307,96,13-06-2017
639,163,3829,296,224,37,25-06-2017
640,163,6581,153,368,148,14-06-2017
641,164,15179,767,239,20,06-08-2016
642,164,19034,1597,240,170,08-09-2016
643,164,8059,723,147,54,09-09-2016
644,164,10779,971,29,37,19-08-2016
645,164,4091,323,238,16,29-08-2016
646,164,20619,747,80,84,07-08-2016
647,164,15636,1163,180,68,22-08-2016
648,164,10076,671,245,0,27-08-2016
649,164,10881,1032,364,177,12-08-2016
650,164,13449,753,339,193,10-09-2016
651,164,19703,789,269,175,17-08-2016
652,164,12728,861,416,162,14-08-2016
653,165,3367,98,173,14,04-06-2016
654,165,20056,437,187,4,11-06-2016
655,165,10148,1030,324,20,08-06-2016
656,165,21341,1880,29,77,09-06-2016
657,165,12323,856,301,162,06-06-2016
658,165,18455,1680,235,46,05-06-2016
659,165,13819,1588,377,80,07-06-2016
660,165,19739,1796,18,181,10-06-2016
661,166,10742,241,242,13,04-06-2016
662,166,4725,279,194,62,03-06-2016
663,166,16775,1372,76,153,01-06-2016
664,166,24187,2691,150,0,02-06-2016
665,166,8033,396,208,170,29-05-2016
666,166,12404,865,270,128,28-05-2016
667,166,19619,1363,479,104,30-05-2016
668,166,21798,2166,181,15,05-06-2016
669,166,4411,156,139,155,31-05-2016
670,167,8532,576,102,94,24-06-2016
671,167,4357,104,157,189,04-07-2016
672,167,5912,547,153,95,17-06-2016
673,167,15297,1066,296,96,12-06-2016
674,167,10578,1040,314,131,28-06-2016
675,167,12114,642,368,67,03-06-2016
676,167,10629,837,199,50,26-06-2016
677,167,23719,1695,246,12,23-06-2016
678,167,4744,321,458,57,22-06-2016
679,167,6252,138,134,75,07-07-2016
680,168,9859,1089,412,107,02-01-2018
681,168,9289,577,151,131,05-01-2018
682,168,20048,1834,152,21,29-12-2017
